Vin,RPM
0,0
0.20,0
0.40,0
0.60,12
0.80,150
1.00,300
1.20,420
1.40,540
1.60,650
1.80,768
2.00,900
2.20,1020
2.40,1128
2.60,1236
2.80,1356
3.00,1488
3.20,1608
3.40,1728
3.60,1848
3.80,1968
4.00,2100
4.20,2232
4.40,2364
4.60,2496
4.80,2604
5.00,2700
